weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
AH-1 “休伊眼镜蛇”,火箭炮,,,,最大飞行速度:276千米每小时;飞行速度:亚音速;,最大航程:574千米;,机高:4.11米;机长:13.59米;旋翼直径:13.41米;,"空重:2,939千克;最大起飞重量:4,536千克;",乘员:2人;,,退役时间:2002年;首飞时间:1965年9月7日;,,研发单位:美国贝尔公司;,,,,,气动布局:单旋翼;发动机:德事隆 - 莱康明T53- L-703发动机;发动机数量:双发;
比利时70毫米LAU-97式多管火箭炮,火箭炮,,,,,"最大射程:10,000米;",口径:70毫米;,,,,研发时间:1997年;,所属国家:比利时;,研制机构:比利时泽布勒赫铸造厂;,,,,,
BM—27式火箭炮,火箭炮,,外文名称:BM27型火箭炮;,,,最大射程:最大射速：16发／16秒;,全枪长:360公斤;口径:220毫米;,空枪重:22.75吨;,容弹量:360公斤;,,服役时间:1977年;,所属国家:苏联;,研制机构:苏联;,,,,,
德国42型自行火箭炮,火箭炮,,,,,,,,,,投产日期:1943年4月;,生产国:德国;,,,,,性质:武器;,
德国“步行斯图卡”火箭炮,火箭炮,,外文名:Stuka Zu Fuss;,,,,,,乘员:7人;,,,国家:德国;,,,,,,
德国110毫米拉尔斯轻型火箭炮,火箭炮,,外文名:Light Artillery Rocket System;,,,,,,,,装备部队时间:1969年;研制时间:1965年;,,,,,,,
俄罗斯BM21多管火箭炮,火箭炮,,,,射速:40发/18～20秒;,最大射程:11～20.38公里;,口径:122.4毫米;,,,,,,,,,,,
俄罗斯9A52-4式旋风多管火箭炮,火箭炮,,,型号:BM-30;,,,,,,,,,,,,,,
各国火箭炮,火箭炮,,外文名:rocket artillery;,,,射程:按射程可分为中近程火箭炮和远程火箭炮。;,,,,,,,,,,,特点:发射速度快，火力猛烈，突袭性好;,
国产70式自行火箭炮,火箭炮,,外文名:Chinese type 70 rockets themselves;,,,,,,,,,,,,,,,
韩国九龙火箭炮,火箭炮,,,,,,火箭炮直径:130毫米;,,,,,,,,,,,
RQ/MQ-1“捕食者A”,火箭炮,,,,最大飞行速度:222千米每小时;飞行速度:亚音速;,"最大航程:8,880千米;",机高:2.11米;翼展:14.85米;机长:8.13米;,"空重:512千克;最大起飞重量:1,020千克;",,,首飞时间:1994年7月;,,研发单位:美国通用原子公司;,,,,,气动布局:平直翼;发动机:Rotax 914发动机;发动机数量:单发;
韩国K-136型九龙火箭炮,火箭炮,,,,,,,,,,发射所需时间:18秒;,,,,,,,
喀秋莎BM-13火箭炮,火箭炮,,,,,,,,,,,,,,,,特点:完备的火箭炮武器运载平台;,
M270式227毫米多管火箭炮,火箭炮,,,,,,,,,,研制时间:1976年;装备时间:1983年;,,,,,,,
M207型自行火箭炮,火箭炮,,英文名称:MLRS;,,,,,,,,定型时间:2001年10月完成操作实验;,国家:美、英、德、意联合研制;,,,,,,
M270式火箭炮,火箭炮,,外文名:M270 Multiple Launch Rocket System;,,,,,,,,,原产国:美国;,生产商:洛克希德·马丁;研发者:沃特公司;,,,,,
MKl0多管反潜火箭炮,火箭炮,,,,,深度:61米;,,炮弹重量:26公斤;,,,,,,,,,,
M270多管火箭炮,火箭炮,,,,,,,,,,研制时间:70年代;装备时间:1983年;,,,,,,,
MLRS多管火箭系统,火箭炮,,外文名:Multiple Launch Rocket System;,,,,,,,,,,,,,,,
南非瓦尔基里式火箭炮,火箭炮,,,,飞行速度:93公里/小时;,最大射程:22．5公里;,口径:127毫米;,,,,,国别:南非;,,,,,,
PHZ89式122毫米40管自行火箭炮,火箭炮,,,,,,,,,,,所属国家:中国;,研制机构:中国;,,,,,
PHL-03自行火箭炮,火箭炮,,英文名称:PHL03 Multiple launch rocket system;,前型/级:83式火箭炮;,,,,,,,服役时间:2004年;研制时间:1996～2003年;定型时间:2003年;,国家:中国;,研制单位:北方工业总公司;,,,,,
皮那卡多管火箭炮,火箭炮,,,,,,,,,,服役时间:2002年11月;,国家:印度;,,,,,,
日本75式火箭炮,火箭炮,,,,,,口径:中口径炮;,,,,研发时间:1970年;,,研发单位:三菱重工业;,,,,,
神鹰400制导火箭炮,火箭炮,,,,,,,,,,,国家:中国;,研制单位:航天科工集团;,,,,特点:垂直发射方式;,
SF110“拉尔斯”火箭炮,火箭炮,,,,,,,,,,服役时间:1969年;研制时间:1965年;,国家:德国;,,,,,,
T34卡利欧波多管火箭炮,火箭炮,,外文名:Rocket Launcher T34 Calliope;,,,,,,,,研发日期:1943年;,原产国:美国;,,,,,,
台湾雷霆2000火箭炮,火箭炮,,外文名称:Thunderbolt-2000 RT/LT-2000;,,,,,,,,服役:2012年9月1日;,,,,,,,
卫士-2火箭炮,火箭炮,,,,,最小射程:60公里;最大射程:480公里;,弹径:425毫米;弹长:8150毫米;,,,,,,,,,,,
卫士WS-1／1B型300毫米多管火箭炮,火箭炮,,,,,,口径:四百零六毫米;,弹头重量:壹佰伍拾公斤;,,,,,,,,,,
WS-1式火箭炮,火箭炮,,,,最大速度:85公里/小时;发射速率:4发/秒;,最大行程:600公里;,,,,,,,,,,,,
意大利菲洛斯30式122毫米火箭炮,火箭炮,,,,,,直径:122毫米;,,,,装备时间:1988年;,,,,,,,
以色列“山猫”火箭炮,火箭炮,,外文名:Lynx;,,,,,,,,推出时间:2007年;,,,,,,特点:发射122毫米-300毫米的火箭弹;,
以色列LAR-160火箭炮,火箭炮,,,,,,,,,,,国家:以色列;,,,,,特点:重量轻、整套装备体积小等;属性:火箭炮;,
中国卫士2远程火箭炮,火箭炮,,,,,,弹径:425毫米;弹长:8150毫米;,,,,,,,,,,,
中国SR-5型远程火箭炮,火箭炮,,,,,最大公路行程:600千米;,,,,,,,,,,,,
中国83式273毫米火箭炮,火箭炮,,,,,"最大射程:40,000米;",口径:273毫米;,"总重:17,541千克;",,,,所属国家:中国;,,,,,,
85式107毫米单管火箭炮,火箭炮,,,,初速:31.4米/秒;最大飞行速度:372米/秒;,,,,,,,,,,,,,
81式107毫米火箭炮,火箭炮,,,,,最大行程:500公里;,,全弹重:18.8千克;,,,,,,,,,,
中国122毫米81式多管火箭炮,火箭炮,,,,,最大射程:20580米，;,,战斗全重:29.9吨;,乘员:5人;,,,,,,,,,
中国130毫米1970式多管火箭炮,火箭炮,,外文名:1970 MRL;,,最大飞行速度:437米/秒;,最大射程:10120米，;,,,,,,,,,,,,
中国273毫米1983式多管火箭炮,火箭炮,,,,最大飞行速度:810.5米/秒;,最大射程:40000米，;,,,,,,,,,,,,
山猫超轻型全地形车,装甲车,,英文名:CS/VP4型8×8轻型全地形车;,,速度:40-80公里/小时;最大速度:100公里/小时;,,车宽:1.8米;车长:3.9米;,重量:1吨;,乘员:6人;,,,国家:中国;,,,,,,发动机:1.4T;
法国狮身人装甲侦察车,装甲车,,英文名:Sphinx Armored;,,,,,,,,,国家:法国;,,作用:可有效抵挡火箭助推榴弹的攻击等;,,,设计特点:采用V型车体设计;,武器配置:先进的40毫米口径机关炮等;
美军DUKW水陆两用运输车,装甲车,,英文名称:DUKW;,,,,,,,,服役时间:1942-1945;研制时间:1942;定型时间:1942;,国家:美国;,制造商:GMC AFKWX;,,,,,
ZBD-04履带式步兵战车,装甲车,,英文名称:ZBD-04 Infany fighting vehicle;,次型/级:ZBD-08步兵战车;前型/级:ZBD-97步兵战车;,最大速度:75公里/小时;,最大行程:600公里;,车长:7.52米;,"战斗全重:215,000千克;",乘员载员:10人;,,服役时间:2006年;研制时间:1990～2000年;定型时间:2004年;,国家:中国;,研制单位:中国北方工业集团公司;总设计师:王天民;,,,,,
ZBD-09 8×8轮式步兵战车,装甲车,,,,最大速度:100.0千米/小时;,最大行程:800.0千米;,高度:2.1米;全长:8米;宽度:3.0米;,战斗全重:21000.0千克;,,,诞生时间:2009年;,原产国:中国;,研发厂商:中国的北方工业公司（NORINCO);,,,,,
BTR-80装甲人员运输车,装甲车,,英文名:BTR-80 Armored Personnel Carrier;,前型:BTR-70;,速度:80km/h;,有效射程:1.2-1.5km;最大里程:600km;离地高度:475mm;,车宽:2.9m;车长:7.65m;,重量:13.6吨;,,,服役时间:1986年;定型时间:1984;,国家:苏联;,,,,,,
WJ-03B警用装甲车,装甲车,,,,,,,,,,,所属国家:中国;,,,,,,
第三代猛士装甲车,装甲车,,外文名:Brave warrior;,,,,,,,,,,,用途:军用越野车;,,,,
6X6轮式装甲输送车,装甲车,,,,,,,,,,,,,,,,,发动机功率:300千瓦;
美国V-600轮式侦察车,装甲车,,,,,,车型尺寸:6.30米×2.68米×1.8米;,,,,,,生产厂商:卡迪拉克·盖奇公司;,,,,,
美国康曼多轮式侦察车,装甲车,,,,,,,,,,,国别:美国;,生产单位:卡迪拉克·盖奇公司;研制单位:卡迪拉克·盖奇公司;,,,,,
英国哈里莫轮式侦察车,装甲车,,,,,,车型尺寸:3.85米×2.03米×1.45米;,,,,,,生产厂商:GKL国际集团公司和GKN防务分部;,,,,,
美国M3履带式侦察车,装甲车,,,,,,,,,,,国别:美国;,生产厂商:食品机械化学公司;生产单位:食品机械化学公司地面系统分部;研制单位:食品机械化学公司军械分部;,,,,,
英国肖兰德轮式侦察车,装甲车,,,,,,车型尺寸:4.635米×1.8米×1.8米;,,,,,,生产厂商:肖特兄弟和哈兰德工厂;,,,,,
南非“大山猫”装甲侦察车,装甲车,,,,炮口初速:1600m/s;,有效射程:2000 h3000m;,,重量:28吨;,,,,,,,,,,
巴西恩格萨EE-18苏库利(6×6)坦克歼击车,装甲车,,英文名称:EE-18 Sucuri (6×6)Tank Destroyer;,,,,,,,,研制时间:1987年;,国家:巴西;,,用途:扰乱战术与敌军坦克交战;,,,,
UNIMOGU-5000全防护车,装甲车,,,,,,,,,,,,,,,,,
霍特斯伯4585轮式装甲人员输送车,装甲车,,外文名:Hotspur 4585 wheeled Armoured Personnel Vehicle;,,,,,,,,,,,,,,,
英国“狐”式轻型装甲侦察车,装甲车,,英文名称:Fox Light Armored Reconnaissance Car;,,,,,,,,研制时间:1965年;,,,,,,,
ZBD-03空降步兵战车,装甲车,简称:03空降战车;,英文名称:ZBD-03 airborne armored infantry fighting vehicle (IFV);,,最大速度:68公里/小时;,最大行程:500公里;,,战斗全重:8吨;,,,服役时间:2005年;研制时间:1997～2003年;定型时间:2005年;,国家:中国;,研制单位:中国北方工业集团公司;,,,,,
瑞士增强型锯脂鲤轮式装甲车,装甲车,,外文名:The Swissenhancedpiranhawheeled armored vehicle;,,,,,,,,,,研制:瑞士莫瓦格公司;,,,,,
飞行吉普车,装甲车,,外文名:Flying jeep;,,,,,,,,,国家:美国;,,,,,,
ZLC2000空降步兵战车,装甲车,,,,,,,,,,,,,,,,,
轻型近战车辆(CCVL),装甲车,,"外文名:Close Combat Vehicle,Light;",,,,,,,,,国别:美国;,研制单位:食品机械化学公司军械分部;,,现状:制出样车，停止研制;,,,
SU-85坦克歼击车,装甲车,,外文名:SU-85 TANK;,,,,,,,,,原产国:苏联;,,,,,,
猎豹坦克歼击车,装甲车,,外文名:Jagdpanther;,,最大速度:55千米/小时;,最大行程:250千米;,高度:2.72米;全长:9.87米;宽度:3.27米;,战斗全重:45500千克;,,,诞生时间:1943年10月;生产日期:1944年3月;,,研发厂商:克虏伯公司;,,,,,
德国Jagdtiger“猎虎”重型坦克歼击车,装甲车,,,,,,车宽:3.75m;车长:10.65m;,,,,研制时间:1943年2月开始研制;,,,,,,,
恩格萨EE-18苏库利坦克歼击车,装甲车,,外文名:ENGESA EE-18 Sucuri （6×6）Tank Destroyer;,,,,,,,,,国别:巴西;,研制单位:恩格萨特种工程公司;,,,,,
猎豹式驱逐战车,装甲车,,外文名:Jagdpanther;,,,,,,乘员人数:5人;,,生产日期:1944年前期;,,,,,,,
IT-1反坦克导弹驱逐战车,装甲车,,,,,,宽度:3.33m;长度:6.63m;,,乘员:3人;,,,,,,,,,
美国轻型近战车辆,装甲车,,,,,,,,乘员:3人;,,研制时间:1983年10月;,国家:美国;,,,,,,
巴塔耶B-1战车,装甲车,,,,,,,战斗重量:　32.0ton;,,,,,,,,,,
CV90120坦克歼击车,装甲车,,,,,,,,,,,,,,,,,
大羚羊轮式侦察车,装甲车,,外文名称:Eland Wheeled Armoured Scout Car;,,,,,,,,,所属国家:南非;,研制机构:桑达克-奥斯特瑞尔·比派克有限公司;,,,,,
恩格萨EE-3加拉拉卡侦察车,装甲车,,,,,,车宽:2.235m;车长:4.163m;,,,,,,生产厂商:恩格萨特种工程公司;,,,,,
法国潘哈德AML侦察车,装甲车,,,,,,,,,,,国家:法国;,,,,,,
菲亚特-奥托·梅拉拉6616型侦察车,装甲车,,外文名:FIAT-OTO Melara Type 6616 Armoured Car;,,,,,,,,,国别:意大利;,研制单位:菲亚特公司和奥托·梅拉拉公司;,,,,,
防核防生化侦察车,装甲车,,英文名称:NBCRV;,,,,宽:2.72米;高:2.64米;,,,,,,,,,,,
格萨EE-9卡斯卡维尔轮式侦察车,装甲车,,外文名:ENGESA EE-9 Cascavel Wheeled Armoured Car;,,,,,,,,,国别:巴西;,研制单位:恩格萨特种工程公司;,,,,,
雷诺VBC90轮式侦察车,装甲车,,,,,,,,,,,国别:法国;,生产单位:雷诺车辆工业公司;研制单位:雷诺车辆工业公司;,,,,,
雷诺VBL轮式侦察车,装甲车,,,,最大速度:95公里/小时;,最大行程:800公里;,高度:1.7米;车长:3.87米;宽度:2.02米;,"战斗全重:2,890千克;",,,诞生时间:1978年;,,,,,,,
M8型轮式侦察车,装甲车,,英文名称:M8 Light Wheeled Armoured Ca;,,,,,,,,,国家:美国;,,,现状:完成生产计划;,,,
OTOR2.5乔戈纳轮式侦察车,装甲车,,,,,,,,,,,国家:意大利;,,,,,,
潘哈德ERC轮式侦察车,装甲车,,外文名:Panhard ERC Wheeled Armoured Car;,,,,,,,,,国别:法国;,研制单位:潘哈德和勒瓦索尔机械制造公司;,,,,,
潘哈德VBL轮式侦察车,装甲车,,,,最大速度:95公里/小时;,最大行程:800公里;,高度:1.7米;车长:3.87米;宽度:2.02米;,"战斗全重:2,890千克;",,,诞生时间:1978年;,,,,,,,
潘哈德AML轮式侦察车,装甲车,,,,,,,,,,,国别:法国;,"生产单位:潘哈德公司（Panhard,FR）;研制单位:潘哈德公司（Panhard,FR）;",,,,,
RUG水陆两用侦察车,装甲车,,外文名:FUG(or OT-65)Amphibious Scout Car;,,,,,,,,,国别:匈牙利;,研制单位:匈牙利;,,,,,
RBYMK1轻型装甲侦察车,装甲车,,,,,,,,,,,国家:以色列;,,,,,,
RAM轻型轮式装甲侦察车族,装甲车,,外文名:Family of Light Wheeled Armored Scout Car;,,,,,,,,,,生产单位:拉姆塔结构与系统公司;研制单位:拉姆塔结构与系统公司;,,,,,
萨拉丁轮式侦察车,装甲车,,英文名:Saladin Armoured Car;,,,,尺寸:5.284米×2.540米×2.930米;,,,,,,,,,,,
TH400轮式侦察车,装甲车,,,,,,,,,,,国别:联邦德国;,研制单位:蒂森-亨舍尔公司;,,,,,
VEC轮式骑兵侦察车,装甲车,,,,,,,,,,,国别:西班牙;,生产单位:恩普雷萨国家汽车公司军用分部;研制单位:恩普雷萨国家汽车公司军用分部;,,,,,
蝎式装甲侦察车,装甲车,,,,,,,,,,,,,,,,,
英国大黄蜂轮式侦察车,装甲车,,,型号:Hornet;,,,,,,,,国别:英国;,,,,,,
费列特轮式侦察车,装甲车,,外文名:Ferret Wheeled Scout Car;,,,,,,,,样车完成时间:1984年6月;,,生产单位:戴姆勒有限公司;研制单位:戴姆勒有限公司;,,,,,
BRDM两栖装甲侦察车,装甲车,,,,,,,,,,,国家:苏联;,,,,,,
KAAV两栖装甲突击车,装甲车,,,,,,,,,,,国家:韩国;,,,,,,
LVT履带式登陆车,装甲车,,,,,,,,,,,,,,,,属性:两栖登陆车;特点是:海战和岛屿争夺战;,
澳大利亚犬ATF,装甲车,,,,,,,,,,,,,,,地点:澳大利亚;,性质:私有;,
SD.KFZ.251装甲车,装甲车,,,型号:人员输送型和侦察型;,,,,,,,,,,,,,,
法哈轮式装甲人员输送车,装甲车,,,,,,,,,,,国别:埃及;,研制单位:联邦德国蒂森·亨舍尔公司;,,现状:在生产;,,,
奥地利4K4FA履带式装甲人员输送车,装甲车,,,,,,,,,,,国别:奥地利;,,,现状:完成生产计划;,,,
潘德轮式装甲人员输送车,装甲车,,外文名:Pandur Wheeled Armoured Personnel Carrier;,,,,,,,,,国别:奥地利;,研制单位:施泰尔-戴姆勒-普赫公司;,,,,,
蒂莫尼轮式装甲人员输送车,装甲车,,,,,,,,,,诞生时间:1973年;,所属国家:爱尔兰;,"研制机构:爱尔兰技术投资有限公司（Technology Investments Limited,IE）;",,,,,
保加利亚新型履带式装甲人员输送车,装甲车,,英文名称:New Tracked Armoured Personnel Carrier;,,,,,,,,,国家:保加利亚;,生产单位:苏联 SU;研制单位:苏联 SU;,,,,,
巴西XMP-1履带式装甲人员输送车,装甲车,,,,,,,,,,诞生时间:1984年;,所属国家:巴西;,研制机构:佩萨斯汽车公司;,,,,,
比利时BDX轮式装甲人员输送车,装甲车,,,,,,,,,,,国别:比利时;,,,现状:完成生产计划;,,,
眼镜蛇履带式装甲人员输送车,装甲车,,外文名:Cobra Tracked Armoured Personnel Carrier;,,,,,,,,,国别:比利时;,研制单位:夏尔勒鲁瓦电气制造公司;,,现状:准备生产;,,,
法国TPK4.20VBL和6.40BL轮式装甲人员输送车,装甲车,,,,,,,,,,,国别:法国;,,,现状:生产;,,,
VAB装甲输送车,装甲车,,,,,,,,,,,,,,,,,
法国VXB-170轮式装甲人员输送车,装甲车,,,,,,,,,,,国别:法国;,生产单位:贝利埃汽车公司;研制单位:贝利埃汽车公司;,,,,,
法国水牛轮式装甲人员输送车,装甲车,,,,,,,,,,,国家:法国;,生产单位:潘哈德和勒瓦索尔机械制造公司;研制单位:潘哈德和勒瓦索尔机械制造公司;,,,,,
XA-180轮式装甲人员输送车,装甲车,,,型号:XA-180;,,,,,,,,国别:芬兰;,"生产厂商:OYSISU汽车公司OYSISU-Auto Ab,FI;",,,,,
荷兰YP-408轮式装甲人员输送车,装甲车,,外文名:YP-408 Wheeled Armoured Personnel Carrier;,,,,,,,,,,所属:荷兰;生产单位:DAF 卡车厂;,,,,,
加拿大未来履带式装甲人员输送车,装甲车,,英文名称:Future Tracked Troop Carriers;,,,,,,,,,国家:加拿大;,生产单位:加拿大通用汽车公司柴油机分部;,,,,,
捷克斯洛伐克OT-62履带式装甲人员输送车,装甲车,,,,,,,,,,,,生产单位:捷克斯洛伐克;研制单位:捷克斯洛伐克;,,现状:完成生产计划;,,,
捷克斯洛伐克OT-64A轮式装甲人员输送车,装甲车,,,,,,,,,,,,研制单位:捷克斯洛伐克;生产单位:捷克斯洛伐克;,,现状:完成生产计划;,,,
捷克斯洛伐克OT-810半履带式装甲人员输送车,装甲车,,外文名:OT-810 Half-track Armoured Personnel Carrier;,,,,,,,,,国别:捷克斯洛伐克;,研制单位:斯柯达工厂;,,,,,
罗马尼亚TAB-72轮式装甲人员输送车,装甲车,,,,,,,,,,生产时间:1971年;,国别:罗马尼亚;,研制单位:苏联高尔基汽车厂;,,,,,
罗马尼亚TAB-77轮式装甲人员输送车,装甲车,,,,最大速度:83公里/小时;,最大行程:550公里;,高度:1.92米;车长:7.4米;宽度:2.95米;,"战斗全重:13,350千克;",,,诞生时间:20世纪60年代;,,研发厂商:苏联高尔基汽车厂;,,,,,
HWK11履带式装甲人员输送车,装甲车,,英文名:HWK11 Tracked Armoured Personnel Carrier;,,,最大行程:320千米;,,战斗全重:11000千克;,,,诞生时间:1963年;,国家:联邦德国;,生产单位:蒂森·亨舍尔公司;研制单位:蒂森·亨舍尔公司;,,现状:完成 生产计划;,,,
联邦德国UR-416轮式装甲人员输送车,装甲车,,,,,,,,,,,,生产单位:蒂森机械制造厂;研制单位:蒂森机械制造厂;,,现状:生产;,,,
联邦德国秃鹰轮式装甲人员输送车,装甲车,,,,,,,,,,,国别:联邦德国;,生产单位:蒂森·亨舍尔公司;研制单位:蒂森·亨舍尔公司;,,,,,
轮式装甲人员输送车,装甲车,,外文名:Wheeled Armoured Personnel Carriers;,,,,,,,,,国别:智利;,研制单位:卡登工业公司;,,,,,
美国44型轮式装甲人员输送车,装甲车,,,型号:44型;,,,,,,,,国家:美国;,,,,,,
美国LVTP履带式两栖装甲战车,装甲车,,,,,,,,,,,国家:美国;,服役部队:美国海军陆战队;,,,,,
美国M59履带式装甲人员输送车,装甲车,,,型号:m59;,,,,,,,,国家:美国;,,,,,,
M75履带式装甲人员输送车,装甲车,,外文名:M75 Tracked Armoured Personnel Carrier;,,,,,,,,,国别:美国;,研制单位:万国收割机公司;,,,,,
半履带式装甲人员输送车,装甲车,,,,,,,,,,,,,,,,,
美国康曼多V-300轮式装甲车,装甲车,,外文名:Commando V-300 Wheeled Armoured Vehicle;,,,,,,,,,,生产单位:卡迪拉克·盖奇公司;研制单位:卡迪拉克·盖奇公司;,,,,,
美国康曼多轮式装甲车系列,装甲车,,,型号:康曼多轮式;,,,,,,,,国家:美国;,,,,,,
海盗轮式装甲人员输送车,装甲车,,外文名:Viking Wheeled Armoured Personnel Carrier;,,,,,,,,,国别:美国;,研制单位:泰特拉达因公司;,,,,,
南斯拉夫M-60P履带式装甲人员输送车,装甲车,,外文名称:M-60P Tracked armoured Personnel Carrier;,,,,,,,,,所属国家:南斯拉夫;,研制机构:南斯拉夫;,,,,,
AC-200防雷装甲支援车,装甲车,,,,,,,战斗全重:18000kg;,,,,国别:南非;,,,,,,
康曼多MK3轮式装甲人员输送车,装甲车,,外文名:Commando MK3 Wheeled Armoured Personnel Carrier;,,,,,,,,,,生产单位:BRAVIA SARL公司，PT;,,现状:在生产;,,,
蔡米特轮式装甲人员输送车,装甲车,,外文名:ChaimiteWheeledArmouredPersonnelCarrier;,,,,,,,,,国别:葡萄牙;装备国家:葡萄牙、菲律宾、秘鲁等;,生产单位:?BRAVIASARL公司;研制单位:?BRAVIASARL公司;,,,,,
60式履带式装甲人员输送车,装甲车,,,,,,,,,,,国别:日本;,研制单位:三菱重工业公司;,,,,,
