weapon,别名,时间,国家,特点,作用
TRG-42,无,暂无介绍,芬兰,口径 338 Lapua Mag，集惊人的破坏力与轻便的重量于一身，TRG-22/42系列狙击步枪均采用两道火扳机，并且扳机行程、扳机在水平方向的前后位置和垂直方向的倾斜角度均可调节,暂无介绍
RemingtonMSR狙击步枪,无,暂无介绍,美国,暂无介绍,暂无介绍
M99[国产大口径狙击步枪],无,暂无介绍,未知,国产M99新型12.7毫米大口径狙击步枪是一款性能先进、用途广泛、精度高、射程远、重量轻、结构新颖、性能可靠、易维护的大口径半自动狙击步枪,国产M99新型12.7毫米大口径狙击步枪是一款性能先进、用途广泛、精度高、射程远、重量轻、结构新颖、性能可靠、易维护的大口径半自动狙击步枪
M24阻击枪,无,暂无介绍,美国,该枪采用旋转后拉式枪机，因而精度较好，枪管采用不锈钢重型枪管,暂无介绍
M82A1大口径半自动狙击步枪,无,1981年1月偶然,美国,在大口径狙击步枪的热潮中，各大大小小的武器生产商层出不穷地推出各类.50甚至更大口径的狙击步枪，促使巴雷特决心设计一支大口径半自动狙击步枪,暂无介绍
M40A3式7.62MM狙击步枪,无,暂无介绍,未知,采用新的瞄准镜座和护木,暂无介绍
LR-2A大口径狙击步枪,无,暂无介绍,中国,LR2A型12.7毫米半自动狙击步枪(以0下简称LR2A型)是我国大口径狙击步枪家族中的又一名新成员,暂无介绍
雷明登MSR狙击步枪,无,暂无介绍,美国,可发射7.62 × 51 毫米北约/.308 Winchester口径、.300 温彻斯特马格南（.300 Win Mag,暂无介绍
HK33SG1狙击步枪,无,暂无介绍,未知,是在HK33步枪中选取高精度枪管,暂无介绍
芬兰之星[TRG-42狙击步枪的别称],无,暂无介绍,芬兰,口径 338 Lapua Mag，集惊人的破坏力与轻便的重量于一身，TRG-22/42系列狙击步枪均采用两道火扳机，并且扳机行程、扳机在水平方向的前后位置和垂直方向的倾斜角度均可调节,暂无介绍
FR-F2狙击枪,无,1984年完成,法国,由于FR-F2式狙击步枪的射击精度很高,暂无介绍
CheyTac,无,暂无介绍,美国,暂无介绍,暂无介绍
awm[一种军用栓动狙击枪],无,暂无介绍,未知,暂无介绍,暂无介绍
美国佩里格林50/12式12.7mm狙击步枪,无,1989年推出,美国,暂无介绍,暂无介绍
半自动卡宾枪试验型,无,暂无介绍,未知,这种枪采用枪机回转式闭锁,暂无介绍
HK94卡宾枪,无,1980年满足开发,未知,暂无介绍,暂无介绍
SK型半自动卡宾枪3号试验型,无,1944年,未知,口径7.62×41mm，全长1320 mm ，表尺射程800m ,暂无介绍
M4卡宾枪,无,1994年替换,美国,采用可与M16通用的弹匣供弹,M4在美国军队自1994年起为了替换老旧的M16，开始大量装备M4，该枪现已成为美国军队装备量最大的单兵武器之一，而随着原本计划用于替代M4的XM8项目取消，M4未来仍将在美国军队中服役很长一段时间
微声冲锋枪,无,暂无介绍,未知,暂无介绍,暂无介绍
05式微声冲锋枪,无,2005年定型得名,中国,QCW05式5.8毫米微声冲锋枪操作灵活、反应速度、消声效果好，而且采用50发容量的4排弹匣,暂无介绍
俄罗斯PP-2000冲锋枪,无,2001年申请并在2003年批准,未知,这是在欧洲萨托里2004军备展（eurosatory 2004）上初次公开的9mm口径PP-2000冲锋枪,暂无介绍
MP5冲锋枪系列,无,暂无介绍,未知,暂无介绍,暂无介绍
MP5N冲锋枪,无,暂无介绍,美国,口径9MM,暂无介绍
中国56-1式冲锋枪,无,暂无介绍,中国,暂无介绍,暂无介绍
79式冲锋枪[军事武器枪械],1979年式7.62mm轻型冲锋枪,1979年20世纪70年代研制,中国,具有结构简单、体积小、重量轻、精度好、近距离火力强、携带使用方便的特点，该枪的自动方式采用导气式自动原理，采用枪机回转式刚性闭锁机构，79式冲锋枪采用活塞短行程导气式自动方式，该枪发射时后坐速度11.5米/秒，具有良好的射击精度,暂无介绍
PPSh41冲锋枪[军事武器枪械],波波沙冲锋枪,1940年1941年1941年装备,苏联,PPSh-41也采用了大量冲压部件,暂无介绍
PP-90折叠式冲锋枪[军事武器枪械],无,1980年代生产,美国,暂无介绍,暂无介绍
P90TR冲锋枪,平顶型P90,2000年推出,比利时,暂无介绍,暂无介绍
PPS-42冲锋枪,无,暂无介绍,未知,暂无介绍,暂无介绍
前苏联PPS-43式7.62mm冲锋枪[军事武器枪械],无,1943年列为,苏联,暂无介绍,暂无介绍
前苏联PPSH-41式7.62MM冲锋枪,无,1940年1941年1941年装备,苏联,暂无介绍,ППШ-41式7.62mm冲锋枪由前苏联著名轻武器设计师斯帕金设计，在第二次世界大战中屡建奇功，是二战名枪之一，它用于取代ППД系列冲锋枪
斯太尔MP34冲锋枪,无,暂无介绍,奥地利,采用简单的后坐式自动方式,暂无介绍
越南K-50M式7.62mm冲锋枪,无,暂无介绍,越南,口径7.62 mm,暂无介绍
中国7.62mm5O式冲锋枪,无,1950年生产,中国,暂无介绍,暂无介绍
AEK-918Г式冲锋枪,无,暂无介绍,未知,AEK-918Г式冲锋枪采用冲锋枪常用的典型结构，自动方式采用半自由枪机式，同时还采用了平衡机构和结构新颖独特的枪口制退器,暂无介绍
b32,无,暂无介绍,德国,暂无介绍,暂无介绍
俄罗斯PP-90M式9MM冲锋枪,无,暂无介绍,俄罗斯,暂无介绍,俄罗斯PP—90M式9mm冲冲锋枪是俄罗斯研制的一种近战武器，只能实施连发射击，主要用于杀伤近距离内的有生目标
俄罗斯基帕里斯9MM冲锋枪,无,暂无介绍,俄罗斯,该枪采用折叠式枪托,基帕里斯9mm冲锋枪是俄罗斯专为同有组织的罪犯作斗争的内务部部队研制的，用于杀伤１００m内的有生目标
俄罗斯PP-93冲锋枪,无,1993年拉,俄罗斯,PP-93也是被多个俄罗斯的执法机构和安全机构所采用，据说PP-93在半自动射击时的精度也相当好的,暂无介绍
F1冲锋枪,无,暂无介绍,英国,该枪大部分部件采用冲压件，采用自由枪机式工作原理、开膛待击,暂无介绍
FMG9折叠冲锋枪[军事武器枪械],无,暂无介绍,未知,FMG9体积小、便于隐藏，这种集轻巧与火力于一身的特点备受特工的喜爱,暂无介绍
HK—MP7A1冲锋枪,无,2002年采用,德国,继德国特种作战部队KSK即特种突击队于2002年首次采用之后,暂无介绍
KBP-PP2000,无,2004年夏季亮相,未知,暂无介绍,暂无介绍
美国英格拉姆M10式和M11式冲锋枪,无,１９６９年开始生产,美国,暂无介绍,暂无介绍
MP5PIP冲锋枪,无,暂无介绍,未知,采用自由式枪机，枪管口部也是采用MP5的三凸笋枪口,暂无介绍
MPi69冲锋枪,无,1960年代研制投产,奥地利,暂无介绍,暂无介绍
MP5SD冲锋枪,无,1977年反使用,未知,从而减少运动弹头的加速度，不过有效射程也比较低,暂无介绍
M3式冲锋枪[军事武器枪械],无,暂无介绍,美国,暂无介绍,暂无介绍
MP5K-PDW冲锋枪,无,1989年专为用防卫提出,比利时,比利时FN公司率先开发了5.7mm口径的P90 PDW,暂无介绍
MP7A1ammo60R,无,暂无介绍,德国,采用的是4.6 x 30毫米弹药,暂无介绍
MP5-A,无,暂无介绍,未知,准确度和射程都有所提升， 制造商：Heckler & Koch 枪重：2.45 kg 全长： 680 mm弹匣容量：40/80 有效射程：200 射速：800 RPM,暂无介绍
美国American-180冲锋枪,无,暂无介绍,未知,由于它发射的是·22LR口径边缘发火弹，因此其威力和射程都极小,暂无介绍
mp9[军用反恐狙击弩],无,暂无介绍,未知,暂无介绍,暂无介绍
德国MP7单兵自卫武器,无,1999年亮相,比利时,2000年被德军采用作制式,暂无介绍
Model635冲锋枪[军事武器枪械],无,暂无介绍,未知,Model 635（或称RO635）冲锋枪是以M16A2为基础开发出的9mm派拉贝鲁姆口径冲锋枪,暂无介绍
MP5KA1突击冲风枪,无,暂无介绍,未知,全长：325mm 重量：1950kg 弹容：15发,暂无介绍
ZB26式轻机枪,无,暂无介绍,捷克,ZB26另一个特点是枪管过热可快速更换,暂无介绍
dp轻机枪,无,暂无介绍,苏联,暂无介绍,暂无介绍
67式轻重两用机枪,通用机枪,1959年开始做,中国,暂无介绍,暂无介绍
58式机枪,无,1963年进行,未知,暂无介绍,暂无介绍
85式重机枪,无,1985年设计定型,中国,暂无介绍,暂无介绍
85式狙击步枪,无,暂无介绍,中国,暂无介绍,暂无介绍
MG42机枪,无,1942年,德国,它最大的特点就是射速极快,暂无介绍
M249班用自动武器,无,暂无介绍,美国,发射5.56×45毫米口径北约标准弹药,暂无介绍
81式班用轻机枪,无,1981年用长鼓供分,未知,"国产1981年式7.62毫米班用轻机枪是81式制式枪族的一员,全枪重5.15千克,全枪长1004毫米,75发弹鼓供弹,理论射速700发/分,有效射程600米,枪机回转闭锁方式,导气式自动原理，具有重量轻",暂无介绍
67式通用机枪,通用机枪,1959年开始做,中国,暂无介绍,暂无介绍
53式重机枪,无,1953年生产,中国,该枪采用导气式自动原理,"该型重机枪已从陆军部队撤装，取而代之的是比它轻巧灵活, 用途广泛的通用机枪"
MG3式7.62mm毁灭者通用机枪,无,1959年开始生产,德国,由MG42式机枪的7．92mm口径改为7．62mm、发射北约7．62mm制式弹而成,暂无介绍
布伦式轻机枪,无,1935年列,英国,能够提供攻击和支援火力,暂无介绍
K3轻机枪,无,暂无介绍,韩国,暂无介绍,暂无介绍
并列机枪,无,暂无介绍,未知,暂无介绍,暂无介绍
SG43古尔约诺夫重机枪,无,暂无介绍,未知,精度也比较好,暂无介绍
马克沁M1910重机枪,无,暂无介绍,比利时,M1910式重机枪的口径为7.62毫米，表尺射程为2200米，枪全重为45.2公斤,暂无介绍
明治三十八年式重机枪,无,暂无介绍,日本,暂无介绍,暂无介绍
斯通纳86机枪,无,1980年代设计,未知,暂无介绍,暂无介绍
追击者HK23,无,2009年更新加入,未知,这款拥有100发子弹而又较轻的重量，接近突击步枪的稳定性让这把枪可以在连续射击时能够准确的命中目标，而相对较轻的重量，100发的备弹量更是让广大玩家在异乱之战[追击]能够大开杀戒,暂无介绍
AEK-999Barsuk通用机枪[军事武器枪械],无,暂无介绍,未知,暂无介绍,暂无介绍
PK通用机枪[军事武器枪械],无,1959年连,苏联,名称 ：PK通用机枪原产国 ：苏联发明者 ：米哈伊尔·季莫费耶维奇·卡拉什尼科夫使用枪弹 ：7.62×54R弹容药量 ：100弹箱或者200发弹箱有效射程 ：1000 m理论射速 ：700-750 rds/minPK系列通用机枪（Pulemyot Kalashnikova,暂无介绍
M1917A1式重机枪,无,1917年投入,未知,暂无介绍,暂无介绍
掠食者M60E4,无,暂无介绍,未知,暂无介绍,暂无介绍
Negev[军事武器枪械],无,暂无介绍,巴勒斯坦,暂无介绍,IMI的Negev轻机枪（一般音译为“内格夫”，是巴勒斯坦南部的一个地区名）是目前以色列国防军的制式多用途轻机枪，装备部队包括所有的正规部队和特种部队
M249机枪[军事武器枪械],无,暂无介绍,美国,发射5.56×45毫米口径北约标准弹药，M249采用气动、气冷原理,暂无介绍
M134迷你炮机枪,“迷你”是因为与M61火神式机炮来比较的关系,暂无介绍,未知,M134迷你炮（Minigun）机枪是7.62mm口径的高转速多管旋转式机枪（每分三千转）,暂无介绍
M1917式勃朗宁重机枪,无,1921年仿造,美国,M1917式勃朗宁重机枪口径.30-06(7.62mm),M1917式勃朗宁重机枪是一种水冷式重机枪，由美国著名的枪械设计师约翰·摩西·勃朗宁设计，M1917式勃朗宁重机枪口径.30-06(7.62mm)，发射7.62×63mm弹药，枪管外套有容量3.3L水的套筒，用于冷却枪管
RPD[轻机枪],无,1908年主持,苏联,暂无介绍,捷格加廖夫轻机枪使用前苏联1908年式7．62mm有底缘枪弹，轻机枪是前苏联捷格加廖夫主持设计的，1926年设计定型，1928年装备苏军，在第二次世界大战中发挥了重要作用
一式重机枪,无,1941年生产,日本,暂无介绍,暂无介绍
棕贝丝,无,暂无介绍,英国,暂无介绍,暂无介绍
ZB1937重机枪,无,暂无介绍,捷克,"捷克人设计的ZB1937重机枪,后来这种枪被英国人和德国人同时采用并自行生产",暂无介绍
艾达·李,无,暂无介绍,未知,暂无介绍,暂无介绍
班用机枪,无,暂无介绍,未知,暂无介绍,"班用机枪是一个步兵班的火力支援单位，一个步兵班配发1-2挺，主要作用是中近距离对敌方进行杀伤及压制敌方火力掩护其他作战人员行动，多使用弹匣,短弹链或弹鼓供弹，一般与步兵班内的步枪使用的弹药相同，配备2脚架，理论射速在600-1200发/分，战斗射速一般150发/分"
多管机枪,无,1878年发明排,美国,弹匣内的枪弹借自身的重量而下降,暂无介绍
机枪[武器],机关枪,暂无介绍,中国,主要发射步枪弹或更大口径（12.7mm/14.5mm）的子弹,暂无介绍
LMG-25轻机枪,无,1925年,瑞士,暂无介绍,暂无介绍
MG3式7.62mm通用机枪,无,1959年开始生产,德国,由MG42式机枪的7．92mm口径改为7．62mm、发射北约7．62mm制式弹而成,暂无介绍
MG-34通用机枪,无,1934年采用供1935年开始装备,德国,MG34(德语：Maschinengewehr 34)是德国在1934年起采用的弹链供弹式机枪、在1935年开始装备部队，MG34的口径为7.92x57毫米(又名8毫米毛瑟弹),暂无介绍
NSV重机枪,无,1960年代认为当时装备,苏联,苏军认为当时所装备的12.7mm口径DShKM重机枪重量太大，在远射程时精度也不足，并于1972年被苏联红军采用，曾被华约成员国广泛用作步兵通用大口径机枪,暂无介绍
ak-47式步枪刺刀,无,1951年开始装备,苏联,暂无介绍,暂无介绍
中国91式7.62毫米4管匕首枪,无,暂无介绍,未知,又具有手枪的性能， 该枪全长265毫米，有效射程10米,暂无介绍
FN FAL步枪刺刀,无,暂无介绍,比利时,全世界有90多个国家采用过FALL步枪，虽然有的国家在生产FAL变型枪时没有采用比利时的刺刀,暂无介绍
k63重型防弹头盔,“电焊盔”,暂无介绍,俄罗斯,因而具有很强的防护能力,暂无介绍
解放军QGF03头盔,无,1995年加入,未知,暂无介绍,暂无介绍
星空迷彩,无,暂无介绍,未知,能够适应国内外不同的地形地貌，“星空迷彩”具有以下几方面特点：首先，更加细碎和自然环境能够更好地融合，胸袋采用斜插口不规则形状设计,暂无介绍
MC复合迷彩,无,暂无介绍,美国,暂无介绍,暂无介绍
三色沙漠迷彩,无,1986年11月1日宣告成立,中国,暂无介绍,暂无介绍
