weapon,abstract
BTR-80装甲人员运输车,"
	BTR-80是一种前苏联设计的4轴、8x8装甲两栖人员输送车(APC)，由BTP-70轮式装甲输送车改进而成，从外表看，与BTP-70车相似，1984年设计定型。于1986年进入服役，并且替换了之前于苏军中服役的BTR-60和BTR-70。BTR-80的第一次实战是阿富汗战争。	"
WJ-03B警用装甲车,"
	WJ-03B警用装甲车是在中国WZ551式军用装甲车的基础上发展的一款警用装甲车，首次公开亮相是在国庆60周年大阅兵中，组成车辆第8梯队的就是武警“雪豹”突击队驾驶的该型防暴车。 该车为全封闭式装甲钢焊接车体，通体白色，装饰有金色警徽，装有多种武器，具有多种作战能力，比同类型的老装备性能有了很大提高。
            	"
第三代猛士装甲车,"
	猛士是一辆国产ORV，是我国第一部三代高机动性军用越野车，它实现了部队装备的跨越式发展。对于中国汽车自主研发也有积极的促进作用。猛士的定型总共用了五年的时间，累计63台样车的试制，通过了115万公里的道路强化测试，并完成了热区、沙漠、高原、寒区、沿海环境适应性试验。 猛士的定位为轻型4X4，总质量5吨，装置质量1.75吨，牵引质量2吨。搭载康明斯直四柴油增压引擎的车型国产率接近100%，是一款完全拥有自主知识产权的产品。目前，全球军用越野车已经迈入第三代，它所倡导的是高机动性，而其中由美国通用生产的Humvee具有标杆意义。Humvee，这是一款多用途高机动性四轮驱动车，现在美军方昵称为Humvee，民用版本则称之为Hummer(悍马)。它尽最大可能符合现代战争的需求，不仅可以适应复杂的路况，还可以在运输人员、发射导弹方面具备相应的功能。包括日，韩，俄，法等国家等先后以Hunmvee为蓝本开发出相应的车型，为提高我军装备技术水平，打赢现代化战争，2002年我军决定研制这种最先进车型。
            	"
英国“狐”式轻型装甲侦察车,"
	英国“狐”式轻型装甲侦察车（Fox Light Armored Reconnaissance Car)，1965年研制，1973年完成第一辆生产型车，现除英国陆军装备外，其他国家也有装备。该车采用全焊接的铝合金装甲车体和炮塔，可防中型枪弹和弹片。发动机采用“美洲虎”XK6缸4.2升汽油机。战斗全重6120千克，最大公路时速104千米，水上时速5.23千米，公路行程434千米。主要武器：30毫米拉登炮，其左侧并列武器为1挺7.62毫米机枪，炮塔前部两侧各有4个烟幕发射器。	"
ZBD-03空降步兵战车,"
	ZBD-03空降步兵战车是中国人民解放军空降兵的主战兵器，它又被称为03式空降步兵战车、ZBD-03伞兵战车、03式伞兵战车，旧称“ZBD-2000伞兵战车”或“ZLC-2000伞兵战车”，是中华人民共和国研制的的一种伞兵用步兵战车，它首次公开亮相是在2005年ZBD-03空降步兵战车的中华人民共和国与俄罗斯联合举办的军事演习上，ZBD-03伞兵战车在2009年10月1日的中华人民共和国首都各界庆祝中华人民共和国成立60周年大会的分列式上也出现过，它排在装甲车方队的第7位，由中国人民解放军空降兵第15军第45师第134团8连（上甘岭特功八连）的成员驾驶。	"
ZLC2000空降步兵战车,"
	由中国自行研制的新型空降步兵战车。战车由3位成员驾驶操作，车体后部有可以容纳4名伞兵的位置，炮塔安置了一门25mm火炮，炮塔外侧还配有一具反坦克导弹发射器，以及烟幕发射器。ZLC 2000型空降步兵战车的速度是每小时68公里，具备涉湖泊河流的能力，涉水速度6公里/小时，在涉水的环境下，履带转动从而推动车辆前行。单车造价220万美元。	"
SU-85坦克歼击车,"
	SU-85为苏联于第二次世界大战中研制的一种坦克歼击车。其车体以著名的T-34中型坦克为底盘。早期的苏联自行火炮不是用来作为突击炮，如SU-122者，就是当作具有机动力的反坦克武器，而SU-85即属于后者。SU-85的SU代表俄语：Samokhodnaya Ustanovka ，意为自行火炮载具，而85则表示它的武器—85mmD-5T火炮。	"
美国轻型近战车辆,"
	该车是美国食品机械化学公司投资为满足美国陆军装甲防护炮系统要求(也称作XM4)而设计的样车。1983年10月开始研制，迄今已完成10辆样车，进行了机动性和发射M490式105mm曳光训练弹等试验。1985年10月在美国陆军协会装备展览会上首次展出。到1985年底为止，公司的研制费总计2570万美元。	"
巴塔耶B-1战车,"
	巴塔耶B-1战车是法军作为支援步兵作战的重型攻坚/突破用战车.早在1921年即开始进行研发;有鉴於战车在突破壕沟战僵局上的优势,法军乃要求此车必须达到以下要求:1.厚重的装甲. 2.可搭载双主炮(一门支援作战,一门执行攻坚破坏).但是此车的开发进度一直陷入瓶颈,最後才在1929年推出原型车进行测试,并定名为B1重战车.可是将其制式化及投入生产缐却已是1934~35年的事了	"
CV90120坦克歼击车,"
	该车是在CV90步兵 战车的底盘上装了新型炮塔构成的。	"
防核防生化侦察车,"
	装甲侦察车是配备有侦察设备的战斗车辆，主要用于实施战术侦察，具有高度机动性、一定的火力和防护能力。美军装备的斯瑞克""核、生化侦察车(NBCRV)是一种由通用动力公司陆基系统子公司在美军主战装甲车“斯瑞克”为底盘生产的防核、防生化的装甲侦察车。该车重15吨，长6.95米，宽2.72米，高2.64米，共有乘员4名，安装一挺14.5毫米机枪，使用8X8驱动模式，使用卡特彼勒3126涡轮增压柴油发动机，马力可达350匹，满油行程500公里，最高时速100公里。2012年5月16日，日本陆上自卫队在埼玉市的防化学校首次向媒体展示了可应对核生化袭击的NBC侦察车。	"
潘哈德VBL轮式侦察车,"
	潘哈德VBL轮式侦察车车体是由克勒索-卢瓦尔工业（Creusot-Loire Industriel）公司制造的全焊接THD钢结构，发动机在车前部，乘员舱位于后部。	"
LVT履带式登陆车,"
	LVT履带式登陆车是美军在二战期间使用的水陆两用战车，取名为“鳄鱼”。 1942年8月，瓜岛战争中，LVT-1登陆车得到了应用。 在二战期间太平洋战区的岛屿争夺战中，“水牛”LVT系列登陆车发挥了重要作用。	"
澳大利亚犬ATF,"
	go”暂未有正式中文译名，这里的“登高”是音译。 “登高”由德国Krauss-Maffei “登高2型”是“登高”的改进型。	"
巴西XMP-1履带式装甲人员输送车,"
	巴西XMP-1履带式装甲人员输送车是巴西佩萨斯汽车公司在改造美国M59车基础上制造的一种新型履带式装甲人员输送车。M59装甲人员输送车在巴西陆军中装备至少有30辆。佩萨斯汽车公司对M59的前上装甲、动力传动装置、履带等部件都做了改进，同时也对巴西陆军中的600～700辆M113车改装了柴油机。
            	"
VAB装甲输送车,"
	VAB装甲输送车（英文：VAB Wheeled armoured carrier），是法国雷诺公司和GIAT公司根据法国陆军的订货研制的，有四轮和六轮两种设计。两种设计的车体具有相同的布局，只是尺寸不同而已。相同的部分还有动力装置、操纵机械装置、差动装置、制动系统及其他部件和系统。在生产中广泛运用了商业汽车的部件。为了满足法国军队的需要，生产了约4000辆VAB 4×4型，而6×6型是出口型。全世界一共有约5000辆VAB装甲输送车。	"
美国康曼多V-300轮式装甲车,"
	车长6.400m 车宽2.540m 至车桥0.381m	"
南斯拉夫M-60P履带式装甲人员输送车,"
	南斯拉夫M-60P履带式装甲人员输送车曾称M-590，于1965年装备部队，随后并未大量生产，类似于同期装备的美国M59和M113车、英国FV432车等。	"
雷纳迪尔轮式装甲人员输送车,"
	该车是瑞士莫瓦格公司投资研制的一种多种用途的轮式装甲车辆，可作为装甲人员输送车、国内安全车、通信指挥车、人员救护车、补给运输车和侦察车。公司于1966年完成第一辆样车，1967年投产，主要用于出口。	"
CS/LW9型拐弯枪武器系统,"
	中国CS/LW9型拐弯枪武器系统是在以色列“Cormer Shot”拐角射击武器的基础上，由中国兵器工业第二〇八研究所研制，是公安部首支定型并列装的此类武器，也是中国第一支警用拐角射击系统。
            	"
HD66型非线性拐弯枪,"
	早在第一次世界大战的时候，可以拐弯射击的武器就已经应运而生了，那时的战壕战已经成为当时主要的战斗模式，交战各国的士兵为了在瞄准射击时士兵的时候，不暴露在敌人的火力之下，在战壕潜望镜的启发下，英国人发明了最原始的战壕潜射步枪，而到了二战时期德国的著名拐弯武器Krummlauf弯型枪也曾经在战场上昙花一现。今时今日，在武器装备日新月异的当下，这两款性能不俗的拐弯枪械也曾经在国际上风靡一时。以色列拐弯枪这一款诞生于2003年的拐弯枪，设计者是以色列的设计师阿莫斯·戈兰(Amos Golan)，这款可以拐弯射击的武器系统一共由两个部分组成，前半部分的手枪和彩色摄像头，后半部枪托。这种设计使得枪械能够对视觉的盲区进行观察，并且进行瞄准射击。这种“拐弯枪”适于在城市巷战等特殊的战术环境，丛林或者封闭的建筑物空间中使用也可以收到奇效。这种特种枪械能使射击者以墙角等障碍物为掩体，在墙角一侧不用暴露身体就能向目标射击，这种枪械一出现就成为特种部队的必备装备。用来观察敌情的彩色摄像头拆装方便，还可以选择不同的镜头；监视器有十字瞄准指示，便于枪手精确瞄准。以色列拐弯枪除了本身的标准配置之外，还可以加挂军用光源、红外线激光指示器、消音器、灭焰器等多种配置。关于武器的载体方面，诸如如格洛克、SIG SAUER、CZ、伯莱塔等手枪皆可以装配使用，而且还可以装配短突击步枪或卡宾枪，甚至于40毫米榴弹发射器。总而言之，这种拐弯枪系统的诞生可以有效提高士兵的生存几率，减少军队的损失。这款枪械在全世界范围内都比较受欢迎，直到现在依然有多个国家的特种部队装备这种特殊枪械。国产HD66型非线性“拐弯枪”由我国独立自主制	"
Five seveN,"
	Five-seveN手枪是一种半自动手枪。


	"
FN57手枪（比利时研发的军事装备）,"
	FN57手枪是一种半自动手枪，枪机延迟式后坐，非刚性闭锁，回转式击锤击发。FN57手枪首次在手枪套筒上成功采用钢——塑料复合结构，支架用钢板冲压成形，击针室用机械加工，用固定销固定在支架上，外面覆上高强度工程塑料，然后表面再经过磷化处理。由于枪管较短，有极好的穿透力。
            	"
CZ75手枪,"
	CZ 75手枪是由一对工程师兄弟约瑟夫·库斯基和弗朗泰斯克·库斯基一起研制的，当时他们按照中央政府要求设计一种采用大容量弹匣、双动板机的制式手枪，虽然当时的捷克斯洛伐克是华约成员国，但这一型手枪却要求设计成发射9mm北约标准手枪弹.捷克的国营切斯卡兹布罗约夫卡公司位于乌尔斯基布罗德市，从1936年以来一直在生产军用、执法机构和运动用的轻武器，此外还有精密机械、飞机部件和发动机等其他业务。在该公司生产过的多种产品之中，最为人所熟悉的就是著名的CZ 75手枪。这虽然是一把由东方集团国家所生产的手枪，本身没有什么特别出众的特殊的设计，但却是集多种手枪的优点于一身，手感舒适、性能可靠、精度良好，而且其造工一流，价格也不高，所以在西方国家备受推崇，而且还被许多厂家仿制成不同的型号。CZ75手枪精巧的布局，合理的人机工效及能够实施转换套件的设计思想，，此后又出现了CZ85、CZ97B、CZ85B、CZ83、CZ100等各种型号。 其中最成熟的型号是CZ 75BD和CZ 85B.	"
